Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ConsultarFacturas_Paga,Chrome 77.0.3865.90,,,2019-10-07 15:27:53,2019-10-07 15:28:48,54.225s,INCOMPLETE
,,,,,,,
Test Cases/Abrir Navegador/AbrirNavegador,Chrome 77.0.3865.90,,,2019-10-07 15:27:54,2019-10-07 15:28:12,18.565s,PASSED
"openBrowser("""")",Chrome 77.0.3865.90,,,2019-10-07 15:27:54,2019-10-07 15:28:00,5.998s,PASSED
"navigateToUrl(""https://test-portalclientesyventas-co.azurewebsites.net/login"")",Chrome 77.0.3865.90,,,2019-10-07 15:28:00,2019-10-07 15:28:12,12.213s,PASSED
,,,,,,,
Test Cases/Iniciar Sesion/IngresarInformacion,Chrome 77.0.3865.90,Autenticación - portal clientes,,2019-10-07 15:28:12,2019-10-07 15:28:15,2.307s,PASSED
"navigateToUrl(""https://test-portalclientesyventas-co.azurewebsites.net/login"")",Chrome 77.0.3865.90,,,2019-10-07 15:28:13,2019-10-07 15:28:13,0.703s,PASSED
"setText(findTestObject(""Object Repository/IniciarSesion/input_Correo electrnico_email""), ""usuarioprueba1@yopmail.com"")",Chrome 77.0.3865.90,,,2019-10-07 15:28:13,2019-10-07 15:28:14,0.868s,PASSED
"setEncryptedText(findTestObject(""Object Repository/IniciarSesion/input_Contrasea_password""), ""zpitzbFj1P6iY2h+x2z5qA=="")",Chrome 77.0.3865.90,,,2019-10-07 15:28:14,2019-10-07 15:28:15,0.309s,PASSED
,,,,,,,
Test Cases/Iniciar Sesion/SeleccionarBoton_Ingresar,Chrome 77.0.3865.90,,,2019-10-07 15:28:15,2019-10-07 15:28:15,0.800s,PASSED
"click(findTestObject(""IniciarSesion/button_INGRESAR""))",Chrome 77.0.3865.90,,,2019-10-07 15:28:15,2019-10-07 15:28:15,0.219s,PASSED
"waitForElementClickable(findTestObject(""IniciarSesion/button_INGRESAR""), 30)",Chrome 77.0.3865.90,,,2019-10-07 15:28:15,2019-10-07 15:28:15,0.205s,PASSED
"click(findTestObject(""IniciarSesion/h3_Hola Victoria""))",Chrome 77.0.3865.90,,,2019-10-07 15:28:15,2019-10-07 15:28:15,0.002s,NOT_RUN
"waitForElementClickable(findTestObject(""IniciarSesion/h3_Hola Victoria""), 60)",Chrome 77.0.3865.90,,,2019-10-07 15:28:15,2019-10-07 15:28:15,0.001s,NOT_RUN
,,,,,,,
Test Cases/Mi Cuenta/MisFacturas/SeleccionarMenu_MiCuenta,Chrome 77.0.3865.90,,,2019-10-07 15:28:15,2019-10-07 15:28:18,2.473s,FAILED
"click(findTestObject(""Object Repository/Modulo Mi Cuenta/a_Mi cuenta""))",Chrome 77.0.3865.90,,,2019-10-07 15:28:16,2019-10-07 15:28:18,1.952s,FAILED
,,,,,,,
Test Cases/Mi Cuenta/MisFacturas/SeleccionarMenu_MisFacturas,Chrome 77.0.3865.90,,,2019-10-07 15:28:18,2019-10-07 15:28:19,1.004s,FAILED
"click(findTestObject(""Object Repository/Modulo Mi Cuenta/a_Mis facturas""))",Chrome 77.0.3865.90,,,2019-10-07 15:28:18,2019-10-07 15:28:19,0.597s,FAILED
,,,,,,,
Test Cases/Mi Cuenta/MisFacturas/ConsultaFacturasPagas,Chrome 77.0.3865.90,,,2019-10-07 15:28:19,2019-10-07 15:28:48,28.753s,FAILED
"selectOptionByValue(findTestObject(""Object Repository/Modulo Mi Cuenta/Page_Portal Clientes emi/select_Seleccione                PagaImpaga""), ""1"", true)",Chrome 77.0.3865.90,,,2019-10-07 15:28:19,2019-10-07 15:28:48,28.388s,FAILED
