Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cancelar_CambioContrasena,Chrome 77.0.3865.90,,,2019-10-08 16:08:00,2019-10-08 16:09:27,1m - 27.097s,INCOMPLETE
,,,,,,,
Test Cases/Abrir Navegador/AbrirNavegador,Chrome 77.0.3865.90,,,2019-10-08 16:08:00,2019-10-08 16:08:15,15.092s,PASSED
"openBrowser("""")",Chrome 77.0.3865.90,,,2019-10-08 16:08:01,2019-10-08 16:08:08,7.144s,PASSED
maximizeWindow(),Chrome 77.0.3865.90,,,2019-10-08 16:08:08,2019-10-08 16:08:10,2.184s,PASSED
"navigateToUrl(""https://test-portalclientesyventas-co.azurewebsites.net/login"")",Chrome 77.0.3865.90,,,2019-10-08 16:08:10,2019-10-08 16:08:15,5.402s,PASSED
,,,,,,,
Test Cases/Iniciar Sesion/IngresarInformacion,Chrome 77.0.3865.90,Autenticación - portal clientes,,2019-10-08 16:08:15,2019-10-08 16:08:24,8.828s,PASSED
"navigateToUrl(""https://test-portalclientesyventas-co.azurewebsites.net/login"")",Chrome 77.0.3865.90,,,2019-10-08 16:08:16,2019-10-08 16:08:17,1.463s,PASSED
"setText(findTestObject(""Object Repository/IniciarSesion/input_Correo electrnico_email""), ""usuarioprueba1@yopmail.com"")",Chrome 77.0.3865.90,,,2019-10-08 16:08:17,2019-10-08 16:08:21,3.528s,PASSED
"setEncryptedText(findTestObject(""Object Repository/IniciarSesion/input_Contrasea_password""), ""zpitzbFj1P6iY2h+x2z5qA=="")",Chrome 77.0.3865.90,,,2019-10-08 16:08:21,2019-10-08 16:08:24,3.339s,PASSED
,,,,,,,
Test Cases/Iniciar Sesion/SeleccionarBoton_Ingresar,Chrome 77.0.3865.90,,,2019-10-08 16:08:24,2019-10-08 16:08:57,32.630s,PASSED
"click(findTestObject(""IniciarSesion/button_INGRESAR""))",Chrome 77.0.3865.90,,,2019-10-08 16:08:25,2019-10-08 16:08:27,2.286s,PASSED
delay(30),Chrome 77.0.3865.90,,,2019-10-08 16:08:27,2019-10-08 16:08:57,30.038s,PASSED
,,,,,,,
Test Cases/Mi Cuenta/Configurar Cuenta/SeleccionarMenu_MiCuenta,Chrome 77.0.3865.90,,,2019-10-08 16:08:57,2019-10-08 16:09:10,13.478s,PASSED
"click(findTestObject(""Object Repository/Modulo Mi Cuenta/a_Mi cuenta""))",Chrome 77.0.3865.90,,,2019-10-08 16:08:57,2019-10-08 16:09:00,2.287s,PASSED
"waitForElementClickable(findTestObject(""Modulo Mi Cuenta/a_Mi cuenta""), 10)",Chrome 77.0.3865.90,,,2019-10-08 16:09:00,2019-10-08 16:09:10,10.888s,PASSED
,,,,,,,
Test Cases/Mi Cuenta/Configurar Cuenta/SeleccionarOpcion_ConfigurarCuenta,Chrome 77.0.3865.90,,,2019-10-08 16:09:10,2019-10-08 16:09:13,2.606s,PASSED
"click(findTestObject(""Object Repository/Modulo Mi Cuenta/a_Configurar cuenta""))",Chrome 77.0.3865.90,,,2019-10-08 16:09:11,2019-10-08 16:09:13,2.322s,PASSED
,,,,,,,
Test Cases/Mi Cuenta/Configurar Cuenta/Editar Contrasena/IngresarInformacion,Chrome 77.0.3865.90,,,2019-10-08 16:09:13,2019-10-08 16:09:23,10.323s,PASSED
"setEncryptedText(findTestObject(""Configurar Cuenta/Editar Contrasena/input_() Contrasea actual_oldPassword""), ""zpitzbFj1P6iY2h+x2z5qA=="")",Chrome 77.0.3865.90,,,2019-10-08 16:09:13,2019-10-08 16:09:17,3.311s,PASSED
"setEncryptedText(findTestObject(""Configurar Cuenta/Editar Contrasena/input_() Contrasea nueva_newPassword""), ""TG+1lLkBS3xswYetR2n2wg=="")",Chrome 77.0.3865.90,,,2019-10-08 16:09:17,2019-10-08 16:09:20,3.312s,PASSED
"setEncryptedText(findTestObject(""Configurar Cuenta/Editar Contrasena/input_() Confirmar contrasea nueva_ConfirmPassword""), ""TG+1lLkBS3xswYetR2n2wg=="")",Chrome 77.0.3865.90,,,2019-10-08 16:09:20,2019-10-08 16:09:23,3.311s,PASSED
,,,,,,,
Test Cases/Mi Cuenta/Configurar Cuenta/Editar Contrasena/SeleccionarBoton_Cancelar,Chrome 77.0.3865.90,,,2019-10-08 16:09:23,2019-10-08 16:09:27,3.860s,FAILED
"click(findTestObject(""Object Repository/Configurar Cuenta/Editar Contrasena/button_CANCELAR""))",Chrome 77.0.3865.90,,,2019-10-08 16:09:24,2019-10-08 16:09:27,3.569s,FAILED
