Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ConsultarFacturasPagas,Chrome 77.0.3865.90,,,2019-10-09 09:27:42,2019-10-09 09:29:42,1m - 59.934s,INCOMPLETE
,,,,,,,
Test Cases/Abrir Navegador/AbrirNavegador,Chrome 77.0.3865.90,,,2019-10-09 09:27:42,2019-10-09 09:27:57,14.925s,PASSED
"openBrowser("""")",Chrome 77.0.3865.90,,,2019-10-09 09:27:42,2019-10-09 09:27:49,6.605s,PASSED
"navigateToUrl(""https://test-portalclientesyventas-co.azurewebsites.net/login"")",Chrome 77.0.3865.90,,,2019-10-09 09:27:49,2019-10-09 09:27:57,7.994s,PASSED
,,,,,,,
Test Cases/Iniciar Sesion/IngresarInformacion,Chrome 77.0.3865.90,Autenticación - portal clientes,,2019-10-09 09:27:57,2019-10-09 09:28:06,8.694s,PASSED
"navigateToUrl(""https://test-portalclientesyventas-co.azurewebsites.net/login"")",Chrome 77.0.3865.90,,,2019-10-09 09:27:57,2019-10-09 09:27:59,1.511s,PASSED
"setText(findTestObject(""Object Repository/IniciarSesion/input_Correo electrnico_email""), ""usuarioprueba1@yopmail.com"")",Chrome 77.0.3865.90,,,2019-10-09 09:27:59,2019-10-09 09:28:02,3.475s,PASSED
"setEncryptedText(findTestObject(""Object Repository/IniciarSesion/input_Contrasea_password""), ""zpitzbFj1P6iY2h+x2z5qA=="")",Chrome 77.0.3865.90,,,2019-10-09 09:28:02,2019-10-09 09:28:06,3.266s,PASSED
,,,,,,,
Test Cases/Iniciar Sesion/SeleccionarBoton_Ingresar,Chrome 77.0.3865.90,,,2019-10-09 09:28:06,2019-10-09 09:29:08,1m - 2.565s,PASSED
"click(findTestObject(""IniciarSesion/button_INGRESAR""))",Chrome 77.0.3865.90,,,2019-10-09 09:28:06,2019-10-09 09:28:08,2.223s,PASSED
"waitForElementClickable(findTestObject(""IniciarSesion/button_INGRESAR""), 6000)",Chrome 77.0.3865.90,,,2019-10-09 09:28:08,2019-10-09 09:28:08,0.002s,NOT_RUN
delay(60),Chrome 77.0.3865.90,,,2019-10-09 09:28:08,2019-10-09 09:29:08,1m - 0.030s,PASSED
,,,,,,,
Test Cases/Mi Cuenta/MisFacturas/SeleccionarMenu_MiCuenta,Chrome 77.0.3865.90,,,2019-10-09 09:29:08,2019-10-09 09:29:22,13.583s,PASSED
"click(findTestObject(""Object Repository/Modulo Mi Cuenta/a_Mi cuenta""))",Chrome 77.0.3865.90,,,2019-10-09 09:29:09,2019-10-09 09:29:11,2.291s,PASSED
"waitForElementClickable(findTestObject(""Modulo Mi Cuenta/a_Mi cuenta""), 10)",Chrome 77.0.3865.90,,,2019-10-09 09:29:11,2019-10-09 09:29:22,10.990s,PASSED
,,,,,,,
Test Cases/Mi Cuenta/MisFacturas/SeleccionaropcionMisFacturas,Chrome 77.0.3865.90,,,2019-10-09 09:29:22,2019-10-09 09:29:25,2.634s,PASSED
"click(findTestObject(""Object Repository/Modulo Mi Cuenta/a_Mis facturas""))",Chrome 77.0.3865.90,,,2019-10-09 09:29:22,2019-10-09 09:29:25,2.350s,PASSED
,,,,,,,
Test Cases/Mi Cuenta/MisFacturas/Consultarfacturas,Chrome 77.0.3865.90,,,2019-10-09 09:29:25,2019-10-09 09:29:42,17.262s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/MisFacturas/select_Seleccione                PagaImpaga""), ""1"", true)",Chrome 77.0.3865.90,,,2019-10-09 09:29:25,2019-10-09 09:29:40,14.721s,PASSED
"click(findTestObject(""Object Repository/MisFacturas/button_BUSCAR""))",Chrome 77.0.3865.90,,,2019-10-09 09:29:40,2019-10-09 09:29:42,2.208s,PASSED
