Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PagarFacturaCard,Chrome 77.0.3865.90,,,2019-10-09 10:51:12,2019-10-09 10:52:43,1m - 31.460s,INCOMPLETE
,,,,,,,
Test Cases/Abrir Navegador/AbrirNavegador,Chrome 77.0.3865.90,,,2019-10-09 10:51:12,2019-10-09 10:51:30,17.816s,PASSED
"openBrowser("""")",Chrome 77.0.3865.90,,,2019-10-09 10:51:12,2019-10-09 10:51:19,6.565s,PASSED
"navigateToUrl(""https://test-portalclientesyventas-co.azurewebsites.net/login"")",Chrome 77.0.3865.90,,,2019-10-09 10:51:19,2019-10-09 10:51:30,10.910s,PASSED
,,,,,,,
Test Cases/Iniciar Sesion/IngresarInformacion,Chrome 77.0.3865.90,Autenticación - portal clientes,,2019-10-09 10:51:30,2019-10-09 10:51:39,8.937s,PASSED
"navigateToUrl(""https://test-portalclientesyventas-co.azurewebsites.net/login"")",Chrome 77.0.3865.90,,,2019-10-09 10:51:30,2019-10-09 10:51:32,1.514s,PASSED
"setText(findTestObject(""Object Repository/IniciarSesion/input_Correo electrnico_email""), ""usuarioprueba1@yopmail.com"")",Chrome 77.0.3865.90,,,2019-10-09 10:51:32,2019-10-09 10:51:35,3.489s,PASSED
"setEncryptedText(findTestObject(""Object Repository/IniciarSesion/input_Contrasea_password""), ""zpitzbFj1P6iY2h+x2z5qA=="")",Chrome 77.0.3865.90,,,2019-10-09 10:51:35,2019-10-09 10:51:39,3.554s,PASSED
,,,,,,,
Test Cases/Iniciar Sesion/SeleccionarBoton_Ingresar,Chrome 77.0.3865.90,,,2019-10-09 10:51:39,2019-10-09 10:51:51,12.575s,PASSED
"click(findTestObject(""IniciarSesion/button_INGRESAR""))",Chrome 77.0.3865.90,,,2019-10-09 10:51:39,2019-10-09 10:51:41,2.223s,PASSED
delay(10),Chrome 77.0.3865.90,,,2019-10-09 10:51:41,2019-10-09 10:51:51,10.037s,PASSED
,,,,,,,
Test Cases/Mi Cuenta/MisFacturas/SeleccionarMenu_MiCuenta,Chrome 77.0.3865.90,,,2019-10-09 10:51:51,2019-10-09 10:52:05,13.480s,PASSED
"click(findTestObject(""Object Repository/Modulo Mi Cuenta/a_Mi cuenta""))",Chrome 77.0.3865.90,,,2019-10-09 10:51:52,2019-10-09 10:51:54,2.273s,PASSED
"waitForElementClickable(findTestObject(""Modulo Mi Cuenta/a_Mi cuenta""), 10)",Chrome 77.0.3865.90,,,2019-10-09 10:51:54,2019-10-09 10:52:05,10.893s,PASSED
,,,,,,,
Test Cases/Mi Cuenta/MisFacturas/SeleccionaropcionMisFacturas,Chrome 77.0.3865.90,,,2019-10-09 10:52:05,2019-10-09 10:52:08,2.589s,PASSED
"click(findTestObject(""Object Repository/Modulo Mi Cuenta/a_Mis facturas""))",Chrome 77.0.3865.90,,,2019-10-09 10:52:05,2019-10-09 10:52:08,2.294s,PASSED
,,,,,,,
Test Cases/Mi Cuenta/MisFacturas/ConsultarfacturasImpagas,Chrome 77.0.3865.90,,,2019-10-09 10:52:08,2019-10-09 10:52:28,20.247s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/MisFacturas/select_Seleccione                PagaImpaga""), ""2"", true)",Chrome 77.0.3865.90,,,2019-10-09 10:52:08,2019-10-09 10:52:24,15.644s,PASSED
"click(findTestObject(""Object Repository/MisFacturas/button_BUSCAR""))",Chrome 77.0.3865.90,,,2019-10-09 10:52:24,2019-10-09 10:52:26,2.248s,PASSED
delay(2),Chrome 77.0.3865.90,,,2019-10-09 10:52:26,2019-10-09 10:52:28,2.004s,PASSED
,,,,,,,
Test Cases/Mi Cuenta/MisFacturas/PagarFacturaCard,Chrome 77.0.3865.90,Solo se verificará hasta el botón pagar que se cargue los datos de la pasarela de manera correcta sin pagar la factura.,,2019-10-09 10:52:28,2019-10-09 10:52:43,15.530s,PASSED
"click(findTestObject(""Object Repository/MisFacturas/a_PAGAR""))",Chrome 77.0.3865.90,,,2019-10-09 10:52:28,2019-10-09 10:52:30,2.323s,PASSED
delay(2),Chrome 77.0.3865.90,,,2019-10-09 10:52:30,2019-10-09 10:52:32,2.007s,PASSED
"click(findTestObject(""Object Repository/MisFacturas/a_Tarjeta De Crdito""))",Chrome 77.0.3865.90,,,2019-10-09 10:52:32,2019-10-09 10:52:35,2.283s,PASSED
delay(1),Chrome 77.0.3865.90,,,2019-10-09 10:52:35,2019-10-09 10:52:36,1.005s,PASSED
"click(findTestObject(""Object Repository/MisFacturas/a_Cuenta Corriente""))",Chrome 77.0.3865.90,,,2019-10-09 10:52:36,2019-10-09 10:52:38,2.288s,PASSED
delay(1),Chrome 77.0.3865.90,,,2019-10-09 10:52:38,2019-10-09 10:52:39,1.006s,PASSED
"click(findTestObject(""Object Repository/MisFacturas/a_Cuenta De Ahorros""))",Chrome 77.0.3865.90,,,2019-10-09 10:52:39,2019-10-09 10:52:41,2.309s,PASSED
delay(2),Chrome 77.0.3865.90,,,2019-10-09 10:52:41,2019-10-09 10:52:43,2.004s,PASSED
