Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
IngresarOpcionAreaProtegida,Chrome 77.0.3865.90,,,2019-10-15 11:11:08,2019-10-15 11:12:08,59.767s,INCOMPLETE
,,,,,,,
Test Cases/Abrir Navegador/AbrirNavegador,Chrome 77.0.3865.90,,,2019-10-15 11:11:09,2019-10-15 11:11:24,15.256s,PASSED
"openBrowser("""")",Chrome 77.0.3865.90,,,2019-10-15 11:11:09,2019-10-15 11:11:15,6.508s,PASSED
maximizeWindow(),Chrome 77.0.3865.90,,,2019-10-15 11:11:15,2019-10-15 11:11:18,2.158s,PASSED
"navigateToUrl(""https://test-portalclientesyventas-co.azurewebsites.net/login"")",Chrome 77.0.3865.90,,,2019-10-15 11:11:18,2019-10-15 11:11:24,6.246s,PASSED
,,,,,,,
Test Cases/Iniciar Sesion/IngresarInformacion,Chrome 77.0.3865.90,Autenticación - portal clientes,,2019-10-15 11:11:24,2019-10-15 11:11:33,8.856s,PASSED
"navigateToUrl(""https://test-portalclientesyventas-co.azurewebsites.net/login"")",Chrome 77.0.3865.90,,,2019-10-15 11:11:24,2019-10-15 11:11:26,1.513s,PASSED
"setText(findTestObject(""Object Repository/IniciarSesion/input_Correo electrnico_email""), ""usuarioprueba1@yopmail.com"")",Chrome 77.0.3865.90,,,2019-10-15 11:11:26,2019-10-15 11:11:29,3.547s,PASSED
"setEncryptedText(findTestObject(""Object Repository/IniciarSesion/input_Contrasea_password""), ""zpitzbFj1P6iY2h+x2z5qA=="")",Chrome 77.0.3865.90,,,2019-10-15 11:11:29,2019-10-15 11:11:33,3.398s,PASSED
,,,,,,,
Test Cases/Iniciar Sesion/SeleccionarBoton_Ingresar,Chrome 77.0.3865.90,,,2019-10-15 11:11:33,2019-10-15 11:12:00,27.576s,PASSED
"click(findTestObject(""IniciarSesion/button_INGRESAR""))",Chrome 77.0.3865.90,,,2019-10-15 11:11:33,2019-10-15 11:11:35,2.231s,PASSED
delay(25),Chrome 77.0.3865.90,,,2019-10-15 11:11:35,2019-10-15 11:12:00,25.037s,PASSED
,,,,,,,
Test Cases/Servicio Al Cliente/SeleccionarOpcionServicioAlCliente,Chrome 77.0.3865.90,,,2019-10-15 11:12:00,2019-10-15 11:12:03,2.572s,PASSED
"click(findTestObject(""Object Repository/Servicio Al Cliente/a_Servicio al Cliente""))",Chrome 77.0.3865.90,,,2019-10-15 11:12:01,2019-10-15 11:12:03,2.259s,PASSED
,,,,,,,
Test Cases/Servicio Al Cliente/PreguntasFrecuentes/SeleccionarPreguntasFrecuentes,Chrome 77.0.3865.90,,,2019-10-15 11:12:03,2019-10-15 11:12:05,2.576s,PASSED
"click(findTestObject(""Object Repository/Servicio Al Cliente/a_Preguntas frecuentes""))",Chrome 77.0.3865.90,,,2019-10-15 11:12:03,2019-10-15 11:12:05,2.276s,PASSED
,,,,,,,
Test Cases/Servicio Al Cliente/PreguntasFrecuentes/SeleccionarOpcionAreaProtegia,Chrome 77.0.3865.90,,,2019-10-15 11:12:05,2019-10-15 11:12:08,2.638s,PASSED
"click(findTestObject(""Object Repository/Servicio Al Cliente/a_Area protegida""))",Chrome 77.0.3865.90,,,2019-10-15 11:12:06,2019-10-15 11:12:08,2.251s,PASSED
