Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
IngresarOpcionProgramaEmiBeneficios,Chrome 77.0.3865.120,,,2019-10-15 16:03:51,2019-10-15 16:05:09,1m - 17.738s,INCOMPLETE
,,,,,,,
Test Cases/Abrir Navegador/AbrirNavegador,Chrome 77.0.3865.120,,,2019-10-15 16:03:51,2019-10-15 16:04:10,18.456s,PASSED
"openBrowser("""")",Chrome 77.0.3865.120,,,2019-10-15 16:03:51,2019-10-15 16:03:58,6.680s,PASSED
maximizeWindow(),Chrome 77.0.3865.120,,,2019-10-15 16:03:58,2019-10-15 16:04:00,2.146s,PASSED
"navigateToUrl(""https://test-portalclientesyventas-co.azurewebsites.net/login"")",Chrome 77.0.3865.120,,,2019-10-15 16:04:00,2019-10-15 16:04:10,9.283s,PASSED
,,,,,,,
Test Cases/Iniciar Sesion/IngresarInformacion,Chrome 77.0.3865.120,Autenticación - portal clientes,,2019-10-15 16:04:10,2019-10-15 16:04:19,9.008s,PASSED
"navigateToUrl(""https://test-portalclientesyventas-co.azurewebsites.net/login"")",Chrome 77.0.3865.120,,,2019-10-15 16:04:10,2019-10-15 16:04:11,1.532s,PASSED
"setText(findTestObject(""Object Repository/IniciarSesion/input_Correo electrnico_email""), ""usuarioprueba1@yopmail.com"")",Chrome 77.0.3865.120,,,2019-10-15 16:04:11,2019-10-15 16:04:15,3.718s,PASSED
"setEncryptedText(findTestObject(""Object Repository/IniciarSesion/input_Contrasea_password""), ""zpitzbFj1P6iY2h+x2z5qA=="")",Chrome 77.0.3865.120,,,2019-10-15 16:04:15,2019-10-15 16:04:19,3.395s,PASSED
,,,,,,,
Test Cases/Iniciar Sesion/SeleccionarBoton_Ingresar,Chrome 77.0.3865.120,,,2019-10-15 16:04:19,2019-10-15 16:04:46,27.651s,PASSED
"click(findTestObject(""IniciarSesion/button_INGRESAR""))",Chrome 77.0.3865.120,,,2019-10-15 16:04:19,2019-10-15 16:04:21,2.287s,PASSED
delay(25),Chrome 77.0.3865.120,,,2019-10-15 16:04:21,2019-10-15 16:04:46,25.041s,PASSED
,,,,,,,
Test Cases/Servicio Al Cliente/SeleccionarOpcionServicioAlCliente,Chrome 77.0.3865.120,,,2019-10-15 16:04:46,2019-10-15 16:04:49,2.588s,PASSED
"click(findTestObject(""Object Repository/Servicio Al Cliente/a_Servicio al Cliente""))",Chrome 77.0.3865.120,,,2019-10-15 16:04:47,2019-10-15 16:04:49,2.281s,PASSED
,,,,,,,
Test Cases/Servicio Al Cliente/PreguntasFrecuentes/SeleccionarPreguntasFrecuentes,Chrome 77.0.3865.120,,,2019-10-15 16:04:49,2019-10-15 16:04:52,2.636s,PASSED
"click(findTestObject(""Object Repository/Servicio Al Cliente/a_Preguntas frecuentes""))",Chrome 77.0.3865.120,,,2019-10-15 16:04:49,2019-10-15 16:04:52,2.321s,PASSED
,,,,,,,
Test Cases/Servicio Al Cliente/PreguntasFrecuentes/SeleccionarProgramaEmiBeneficios,Chrome 77.0.3865.120,,,2019-10-15 16:04:52,2019-10-15 16:05:09,17.100s,PASSED
"click(findTestObject(""Object Repository/Servicio Al Cliente/a_Programa emi Beneficios""))",Chrome 77.0.3865.120,,,2019-10-15 16:04:52,2019-10-15 16:04:54,2.246s,PASSED
delay(10),Chrome 77.0.3865.120,,,2019-10-15 16:04:54,2019-10-15 16:05:04,10.007s,PASSED
"click(findTestObject(""Object Repository/Servicio Al Cliente/h3_Programa emi Beneficios""))",Chrome 77.0.3865.120,,,2019-10-15 16:05:04,2019-10-15 16:05:06,2.268s,PASSED
"result = getText(findTestObject(""Object Repository/Servicio Al Cliente/h3_Programa emi Beneficios""))",Chrome 77.0.3865.120,,,2019-10-15 16:05:06,2019-10-15 16:05:09,2.185s,PASSED
out.println(result),Chrome 77.0.3865.120,,,2019-10-15 16:05:09,2019-10-15 16:05:09,0.027s,PASSED
"verifyEqual(result, ""Programa emi Beneficios"")",Chrome 77.0.3865.120,,,2019-10-15 16:05:09,2019-10-15 16:05:09,0.012s,PASSED
