Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
IngresarOpcionCobertura,Chrome 77.0.3865.120,,,2019-10-16 09:56:08,2019-10-16 09:57:21,1m - 13.186s,INCOMPLETE
,,,,,,,
Test Cases/Abrir Navegador/AbrirNavegador,Chrome 77.0.3865.120,,,2019-10-16 09:56:08,2019-10-16 09:56:22,14.480s,PASSED
"openBrowser("""")",Chrome 77.0.3865.120,,,2019-10-16 09:56:08,2019-10-16 09:56:15,6.516s,PASSED
maximizeWindow(),Chrome 77.0.3865.120,,,2019-10-16 09:56:15,2019-10-16 09:56:17,2.189s,PASSED
"navigateToUrl(""https://test-portalclientesyventas-co.azurewebsites.net/login"")",Chrome 77.0.3865.120,,,2019-10-16 09:56:17,2019-10-16 09:56:22,5.432s,PASSED
,,,,,,,
Test Cases/Iniciar Sesion/IngresarInformacion,Chrome 77.0.3865.120,Autenticación - portal clientes,,2019-10-16 09:56:22,2019-10-16 09:56:31,8.769s,PASSED
"navigateToUrl(""https://test-portalclientesyventas-co.azurewebsites.net/login"")",Chrome 77.0.3865.120,,,2019-10-16 09:56:23,2019-10-16 09:56:24,1.488s,PASSED
"setText(findTestObject(""Object Repository/IniciarSesion/input_Correo electrnico_email""), ""usuarioprueba1@yopmail.com"")",Chrome 77.0.3865.120,,,2019-10-16 09:56:24,2019-10-16 09:56:28,3.453s,PASSED
"setEncryptedText(findTestObject(""Object Repository/IniciarSesion/input_Contrasea_password""), ""zpitzbFj1P6iY2h+x2z5qA=="")",Chrome 77.0.3865.120,,,2019-10-16 09:56:28,2019-10-16 09:56:31,3.408s,PASSED
,,,,,,,
Test Cases/Iniciar Sesion/SeleccionarBoton_Ingresar,Chrome 77.0.3865.120,,,2019-10-16 09:56:31,2019-10-16 09:56:59,27.588s,PASSED
"click(findTestObject(""IniciarSesion/button_INGRESAR""))",Chrome 77.0.3865.120,,,2019-10-16 09:56:31,2019-10-16 09:56:34,2.250s,PASSED
delay(25),Chrome 77.0.3865.120,,,2019-10-16 09:56:34,2019-10-16 09:56:59,25.034s,PASSED
,,,,,,,
Test Cases/Servicio Al Cliente/SeleccionarOpcionServicioAlCliente,Chrome 77.0.3865.120,,,2019-10-16 09:56:59,2019-10-16 09:57:01,2.527s,PASSED
"click(findTestObject(""Object Repository/Servicio Al Cliente/a_Servicio al Cliente""))",Chrome 77.0.3865.120,,,2019-10-16 09:56:59,2019-10-16 09:57:01,2.240s,PASSED
,,,,,,,
Test Cases/Servicio Al Cliente/PreguntasFrecuentes/SeleccionarPreguntasFrecuentes,Chrome 77.0.3865.120,,,2019-10-16 09:57:01,2019-10-16 09:57:04,2.569s,PASSED
"click(findTestObject(""Object Repository/Servicio Al Cliente/a_Preguntas frecuentes""))",Chrome 77.0.3865.120,,,2019-10-16 09:57:02,2019-10-16 09:57:04,2.278s,PASSED
,,,,,,,
Test Cases/Servicio Al Cliente/PreguntasFrecuentes/SeleccionarOpcionCobertura,Chrome 77.0.3865.120,,,2019-10-16 09:57:04,2019-10-16 09:57:21,16.966s,PASSED
"click(findTestObject(""Object Repository/Servicio Al Cliente/a_Cobertura""))",Chrome 77.0.3865.120,,,2019-10-16 09:57:04,2019-10-16 09:57:06,2.231s,PASSED
delay(10),Chrome 77.0.3865.120,,,2019-10-16 09:57:06,2019-10-16 09:57:16,10.007s,PASSED
"click(findTestObject(""Object Repository/Servicio Al Cliente/h3_Cobertura""))",Chrome 77.0.3865.120,,,2019-10-16 09:57:16,2019-10-16 09:57:19,2.186s,PASSED
"result = getText(findTestObject(""Object Repository/Servicio Al Cliente/h3_Cobertura""))",Chrome 77.0.3865.120,,,2019-10-16 09:57:19,2019-10-16 09:57:21,2.165s,PASSED
out.println(result),Chrome 77.0.3865.120,,,2019-10-16 09:57:21,2019-10-16 09:57:21,0.020s,PASSED
"verifyEqual(result, ""Cobertura"")",Chrome 77.0.3865.120,,,2019-10-16 09:57:21,2019-10-16 09:57:21,0.013s,PASSED
