Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
IngresarOpcionLineasDeServicioMedico,Chrome 77.0.3865.120,,,2019-10-16 12:09:22,2019-10-16 12:10:42,1m - 19.207s,INCOMPLETE
,,,,,,,
Test Cases/Abrir Navegador/AbrirNavegador,Chrome 77.0.3865.120,,,2019-10-16 12:09:23,2019-10-16 12:09:41,18.166s,PASSED
"openBrowser("""")",Chrome 77.0.3865.120,,,2019-10-16 12:09:23,2019-10-16 12:09:30,6.609s,PASSED
maximizeWindow(),Chrome 77.0.3865.120,,,2019-10-16 12:09:30,2019-10-16 12:09:32,2.186s,PASSED
"navigateToUrl(""https://test-portalclientesyventas-co.azurewebsites.net/login"")",Chrome 77.0.3865.120,,,2019-10-16 12:09:32,2019-10-16 12:09:41,9.023s,PASSED
,,,,,,,
Test Cases/Iniciar Sesion/IngresarInformacion,Chrome 77.0.3865.120,Autenticación - portal clientes,,2019-10-16 12:09:41,2019-10-16 12:09:50,8.839s,PASSED
"navigateToUrl(""https://test-portalclientesyventas-co.azurewebsites.net/login"")",Chrome 77.0.3865.120,,,2019-10-16 12:09:41,2019-10-16 12:09:43,1.537s,PASSED
"setText(findTestObject(""Object Repository/IniciarSesion/input_Correo electrnico_email""), ""usuarioprueba1@yopmail.com"")",Chrome 77.0.3865.120,,,2019-10-16 12:09:43,2019-10-16 12:09:46,3.503s,PASSED
"setEncryptedText(findTestObject(""Object Repository/IniciarSesion/input_Contrasea_password""), ""zpitzbFj1P6iY2h+x2z5qA=="")",Chrome 77.0.3865.120,,,2019-10-16 12:09:46,2019-10-16 12:09:50,3.398s,PASSED
,,,,,,,
Test Cases/Iniciar Sesion/SeleccionarBoton_Ingresar,Chrome 77.0.3865.120,,,2019-10-16 12:09:50,2019-10-16 12:10:17,27.580s,PASSED
"click(findTestObject(""IniciarSesion/button_INGRESAR""))",Chrome 77.0.3865.120,,,2019-10-16 12:09:50,2019-10-16 12:09:52,2.240s,PASSED
delay(25),Chrome 77.0.3865.120,,,2019-10-16 12:09:52,2019-10-16 12:10:17,25.032s,PASSED
,,,,,,,
Test Cases/Servicio Al Cliente/SeleccionarOpcionServicioAlCliente,Chrome 77.0.3865.120,,,2019-10-16 12:10:17,2019-10-16 12:10:20,2.551s,PASSED
"click(findTestObject(""Object Repository/Servicio Al Cliente/a_Servicio al Cliente""))",Chrome 77.0.3865.120,,,2019-10-16 12:10:18,2019-10-16 12:10:20,2.199s,PASSED
,,,,,,,
Test Cases/Servicio Al Cliente/PreguntasFrecuentes/SeleccionarPreguntasFrecuentes,Chrome 77.0.3865.120,,,2019-10-16 12:10:20,2019-10-16 12:10:22,2.564s,PASSED
"click(findTestObject(""Object Repository/Servicio Al Cliente/a_Preguntas frecuentes""))",Chrome 77.0.3865.120,,,2019-10-16 12:10:20,2019-10-16 12:10:22,2.253s,PASSED
,,,,,,,
Test Cases/Servicio Al Cliente/PreguntasFrecuentes/SeleccionarOpcionLineasDeServicioMedico,Chrome 77.0.3865.120,,,2019-10-16 12:10:22,2019-10-16 12:10:42,19.201s,PASSED
"scrollToPosition(0, 250)",Chrome 77.0.3865.120,,,2019-10-16 12:10:23,2019-10-16 12:10:24,1.044s,PASSED
"click(findTestObject(""Object Repository/Servicio Al Cliente/a_Lneas de servicio mdico""))",Chrome 77.0.3865.120,,,2019-10-16 12:10:24,2019-10-16 12:10:26,2.286s,PASSED
delay(10),Chrome 77.0.3865.120,,,2019-10-16 12:10:26,2019-10-16 12:10:36,10.006s,PASSED
"scrollToPosition(250, 0)",Chrome 77.0.3865.120,,,2019-10-16 12:10:36,2019-10-16 12:10:37,1.042s,PASSED
"click(findTestObject(""Object Repository/Servicio Al Cliente/h3_Lneas de servicio mdico""))",Chrome 77.0.3865.120,,,2019-10-16 12:10:37,2019-10-16 12:10:39,2.228s,PASSED
"result = getText(findTestObject(""Object Repository/Servicio Al Cliente/h3_Lneas de servicio mdico""))",Chrome 77.0.3865.120,,,2019-10-16 12:10:39,2019-10-16 12:10:42,2.160s,PASSED
out.println(result),Chrome 77.0.3865.120,,,2019-10-16 12:10:42,2019-10-16 12:10:42,0.025s,PASSED
"verifyEqual(result, ""Líneas de servicio médico"")",Chrome 77.0.3865.120,,,2019-10-16 12:10:42,2019-10-16 12:10:42,0.011s,PASSED
